Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1961","1961","ha","4383820","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1962","1962","ha","4462657","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1963","1963","ha","4286129","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1964","1964","ha","3696281","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1965","1965","ha","3511079","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1966","1966","ha","3057470","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1967","1967","ha","2791650","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1968","1968","ha","2622885","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1969","1969","ha","2570899","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1970","1970","ha","2402993","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1971","1971","ha","2390345","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1972","1972","ha","2265695","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1973","1973","ha","2079745","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1974","1974","ha","2155017","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1975","1975","ha","2216921","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1976","1976","ha","1121015","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1977","1977","ha","1941473","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1978","1978","ha","2183673","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1979","1979","ha","2406239","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1980","1980","ha","2433604","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1981","1981","ha","2617836","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1982","1982","ha","1895486","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1983","1983","ha","2346007","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1984","1984","ha","2505435","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1985","1985","ha","2533762","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1986","1986","ha","2591461","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1987","1987","ha","2875641","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1988","1988","ha","2951493","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1989","1989","ha","3041387","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1990","1990","ha","2908960","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1991","1991","ha","2763440","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1992","1992","ha","2500320","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1993","1993","ha","2259330","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1994","1994","ha","2097650","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1995","1995","ha","1869980","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1996","1996","ha","1920250","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1997","1997","ha","1988190","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1998","1998","ha","2070410","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","1999","1999","ha","2222925","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2000","2000","ha","2267968","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2001","2001","ha","2336031","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2002","2002","ha","2370891","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2003","2003","ha","2395501","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2004","2004","ha","2368040","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2005","2005","ha","2325920","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2006","2006","ha","2312157","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2007","2007","ha","2264129","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2008","2008","ha","2222224","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2009","2009","ha","2135508","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2010","2010","ha","2159785","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2011","2011","ha","2148775","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01610","Coffee, green","2012","2012","ha","2120080","A","Official figure"
