"","","Total Count","Wins","Losses","Winrate","As Radiant","As Dire","Kills","Deaths","Assists","GPM","XPM","Last Hits","Denies","Overall","In Wins","In Losses","Shift"
"Team Liquid","Team Liquid","53","31","22","58,49%","22","31","26,74","23,00","63,57","2501","2868","1081","41","38:26","39:16","37:16","02:00"
"9Pandas","9Pandas","44","26","18","59,09%","20","24","25,45","24,34","58,73","2536","2870","1018","37","35:41","37:20","33:16","04:04"
"Evil Geniuses","Evil Geniuses","43","29","14","67,44%","22","21","26,88","21,44","61,81","2472","2666","910","40","35:01","34:28","36:09","-01:41"
"Gaimin Gladiators","Gaimin Gladiators","43","32","11","74,42%","27","16","24,35","19,02","56,70","2579","2830","1008","44","33:38","32:26","37:05","-04:38"
"Tundra Esports","Tundra Esports","42","31","11","73,81%","26","16","27,21","20,50","64,79","2622","2976","1132","43","37:25","35:47","42:00","-06:13"
"Xtreme Gaming","Xtreme Gaming","41","19","22","46,34%","16","25","24,12","25,29","62,00","2361","2681","1096","35","41:37","45:30","38:16","07:14"
"OG","OG","41","23","18","56,10%","24","17","26,12","26,05","63,54","2406","2697","949","38","36:40","35:01","38:46","-03:45"
"Team Aster","Team Aster","41","24","17","58,54%","29","12","25,49","20,44","65,61","2367","2685","971","39","37:44","35:54","40:20","-04:26"
"Team Spirit","Team Spirit","41","25","16","60,98%","15","26","23,56","24,34","57,29","2453","2837","1073","36","38:10","37:37","39:01","-01:24"
"PSG.LGD","PSG.LGD","38","23","15","60,53%","22","16","22,68","21,39","57,39","2439","2728","1115","31","39:41","38:29","41:32","-03:03"
"Execration","Execration","38","16","22","42,11%","19","19","21,11","32,74","54,95","2328","2643","1142","42","42:16","46:58","38:51","08:07"
"INVICTUS GAMING","INVICTUS GAMING","36","15","21","41,67%","16","20","22,08","25,22","54,86","2307","2683","1086","38","41:10","42:40","40:05","02:35"
"Talon","Talon","36","19","17","52,78%","15","21","27,56","21,19","70,25","2395","2589","1054","33","40:39","38:55","42:34","-03:40"
"Shopify Rebellion","Shopify Rebellion","35","24","11","68,57%","18","17","30,94","19,23","70,71","2550","2895","929","35","34:11","32:15","38:23","-06:08"
"BetBoom Team","BetBoom Team","34","21","13","61,76%","18","16","24,26","17,62","59,76","2431","2794","1039","42","36:36","35:06","39:00","-03:53"
"beastcoast","beastcoast","34","17","17","50,00%","17","17","25,56","29,06","64,82","2431","2707","968","31","36:24","37:41","35:06","02:35"
"Team SMG","Team SMG","33","12","21","36,36%","13","20","25,00","28,94","63,15","2327","2653","991","35","38:42","41:31","37:05","04:27"
"TSM","TSM","32","13","19","40,62%","19","13","21,50","24,28","49,44","2253","2474","861","32","35:09","35:03","35:13","-00:11"
"B8","B8","22","8","14","36,36%","15","7","26,14","27,41","62,50","2399","2895","1151","35","41:36","38:18","43:29","-05:11"
"ALPHA","ALPHA","22","6","16","27,27%","6","16","17,50","28,82","41,55","2098","2422","917","29","35:48","46:25","31:50","14:35"
"Quest Esports","Quest Esports","21","13","8","61,90%","4","17","23,67","21,67","55,81","2561","3090","1366","53","42:24","39:53","46:28","-06:36"
"Nemiga Gaming","Nemiga Gaming","20","8","12","40,00%","14","6","20,40","24,25","48,25","2340","2729","1100","37","37:55","38:15","37:41","00:34"
"SAND KING GÓMEZ","SAND KING GÓMEZ","20","4","16","20,00%","4","16","16,00","30,30","39,70","2104","2357","912","31","36:34","49:22","33:22","16:00"
"BOOM Esports","BOOM Esports","19","6","13","31,58%","9","10","22,42","23,26","51,63","2345","2636","1222","40","43:47","38:01","46:27","-08:26"
"Army Geniuses Mansion","Army Geniuses Mansion","19","8","11","42,11%","12","7","20,47","27,84","51,63","2342","2738","1081","34","39:03","40:58","37:39","03:19"
"D1 Hustlers","D1 Hustlers","19","6","13","31,58%","10","9","21,21","28,95","50,84","2264","2643","1038","28","38:44","38:00","39:05","-01:05"
"Azure Ray","Azure Ray","19","11","8","57,89%","4","15","24,89","27,63","57,79","2483","2884","1215","37","42:04","41:10","43:19","-02:10"
"HYDRA","HYDRA","19","9","10","47,37%","8","11","20,26","21,53","49,68","2396","2691","1077","32","38:04","37:06","38:57","-01:52"
"One Move","One Move","18","6","12","33,33%","9","9","22,22","24,00","51,17","2361","2789","1192","41","41:03","44:32","39:19","05:13"
"Balrogs Esports™","Balrogs Esports™","18","4","14","22,22%","9","9","19,28","24,72","47,33","2099","2416","860","35","35:08","38:01","34:19","03:42"
"DogChamp","DogChamp","18","10","8","55,56%","9","9","24,22","25,72","60,28","2468","2819","1048","38","39:04","39:59","37:55","02:04"
"Entity","Entity","18","7","11","38,89%","10","8","21,50","24,78","50,50","2292","2715","1000","51","36:32","37:58","35:36","02:22"
"Blacklist Rivalry","Blacklist Rivalry","18","12","6","66,67%","11","7","26,94","18,17","68,89","2575","2961","1178","39","41:03","39:56","43:16","-03:20"
"Team Secret","Team Secret","18","6","12","33,33%","11","7","20,28","20,22","51,17","2314","2721","1189","43","40:05","45:06","37:35","07:31"
"Virtus.pro","Virtus.pro","18","10","8","55,56%","9","9","19,83","21,00","47,00","2436","2878","1193","39","39:12","38:43","39:49","-01:06"
"Infamous Gaming","Infamous Gaming","17","5","12","29,41%","10","7","21,65","22,88","47,94","2261","2696","1079","39","38:07","31:42","40:47","-09:05"
"Team Bright","Team Bright","17","3","14","17,65%","9","8","17,88","27,94","45,41","2219","2559","1056","27","39:09","44:45","37:57","06:48"
"BLEED","BLEED","17","13","4","76,47%","9","8","23,88","19,00","64,71","2617","2936","1367","44","44:07","43:20","46:40","-03:20"
"felt","felt","16","7","9","43,75%","6","10","21,62","29,31","50,75","2314","2743","986","34","36:11","35:00","37:07","-02:07"
"Mad Kings Esports","Mad Kings Esports","16","6","10","37,50%","6","10","18,62","27,50","42,38","2157","2453","854","29","34:27","39:12","31:36","07:36"
"UALEIKUMNIHAO","UALEIKUMNIHAO","16","2","14","12,50%","11","5","18,25","26,81","42,31","2092","2394","841","42","34:24","33:37","34:31","-00:54"
"Infinity","Infinity","16","5","11","31,25%","8","8","20,44","23,44","50,19","2216","2580","936","35","37:09","43:47","34:07","09:40"
"Aster.Aries","Aster.Aries","16","4","12","25,00%","7","9","20,81","26,56","50,62","2221","2560","1013","38","39:08","44:42","37:16","07:26"
"Piggy Killer","Piggy Killer","16","6","10","37,50%","6","10","19,12","24,75","46,69","2243","2600","943","36","36:11","37:40","35:18","02:23"
"Hokori","Hokori","15","9","6","60,00%","8","7","22,07","20,20","57,60","2417","2865","980","33","36:09","37:15","34:30","02:46"
"nouns","nouns","15","12","3","80,00%","12","3","27,60","15,47","63,73","2622","3029","1058","42","35:50","34:21","41:46","-07:25"
"Xerxia","Xerxia","14","2","12","14,29%","6","8","18,50","27,00","42,86","2153","2468","972","34","39:34","43:30","38:55","04:35"
"Thunder Awaken","Thunder Awaken","14","10","4","71,43%","8","6","21,29","18,36","53,36","2516","2873","1030","37","34:02","33:55","34:20","-00:24"
