Product Name,Price
Apple iPhone 12 (128 GB) - Branco,3.480
iPhone 11 128gb Vitrine + Brinde Carregador E Cabo Envio 24h,2.715
Apple iPhone 11 64gb Vitrine/novo Nf+garantia Leia Discrição,2.499
Apple iPhone XR 128gb Vitrine/novo Nf+garntia Leia Discrição,2.089
iPhone 8 Plus 64 GB dourado,1.296
iPhone 11 (128 Gb) - Branco 1 Ano Garantia - Lacrado+ Acess.,4.099
Apple iPhone 14 Pro Max (128 GB) - Preto-espacial,7.491
Apple iPhone 12 (64 GB) - Branco,3.139
Apple iPhone 13 (128 GB) - Estelar,7.340
Apple iPhone 12 (256 GB) - Azul,3.903
Apple iPhone XR 128 GB - Preto,1.945
iPhone 8 64 GB cinza-espacial,920
Apple iPhone 14 (128 GB) - Meia-noite,7.599
"Apple iPhone 8 - 64 Gb, Cinza - Bateria Boa - Semi-novo",939
Apple iPhone 11 64 Gb - Vitrine - 10x S/ Juros,2.540
iPhone XR 64gb Branco Excelente - Celular Usado,1.969
Apple iPhone 8 64gb Space Gray  Bat. 100% Classe A Seminovo,997
iPhone 12 64gb Azul Usado,3.649
Apple iPhone 11 (128 Gb) - Brancoexposição Bateria100% Comnf,2.899
Apple iPhone XR 64gb Branco Vitrine Classe A Semi Novo,1.685
Apple iPhone 8 64gb Space,990
Apple iPhone XR 64 Gb Preto Lindo Nota Fiscal 10x Sem Juros,2.188
iPhone 7 128gb Preto Matte Bom - Trocafone - Celular Usado,869
iPhone 5s 16 Gb Cinza-espacial Lindo Nota Fiscal E Garantia,336
iPhone 8 Plus 64gb Dourado Novo Garantia+nf (leia Discrição),1.499
Apple iPhone 13 (512 GB) - Meia-noite,13.546
iPhone 6 16gb,415
iPhone 8 Plus 64 Gb Vitrine Todas As Cores Bateria 100%,1.449
Apple iPhone 11 (64 Gb) - Branco Lindo 10x Sem Juros,2.738
Celular Apple Barato - iPhone 7 Preto - 32 Gb + Carregador,700
Apple iPhone 6s 32gb 2gb Ram Tela 4.7 Cinza Espacial,699
Apple iPhone 12 Pro (512 GB) - Azul-pacífico,7.405
iPhone 8 Plus 256 GB dourado,1.703
iPhone 12 128gb Branco Usado,3.599
iPhone 7 Plus 128 GB preto-fosco,1.180
Apple iPhone SE (2a geração) 64 GB - Preto,2.536
iPhone 8 64 Gb Cinza-espacial Original Mostruario Com Nfe.,1.878
iPhone XR 128gb Branco Vitrine Sem Marcas + Brindes,1.999
