"","","Total Count","Wins","Losses","Winrate","As Radiant","As Dire","Kills","Deaths","Assists","GPM","XPM","Last Hits","Denies","Overall","In Wins","In Losses","Shift"
"Quest Esports","Quest Esports","16","12","4","75,00%","7","9","26,38","19,50","57,50","2688","3071","1381","43","41:13","40:13","44:13","-04:00"
"Team Liquid","Team Liquid","19","14","5","73,68%","8","11","24,05","18,74","54,11","2520","2870","1083","42","35:24","35:38","34:47","00:50"
"BetBoom Team","BetBoom Team","18","12","6","66,67%","8","10","27,39","19,22","66,33","2626","3099","1306","40","42:02","42:46","40:33","02:13"
"Gaimin Gladiators","Gaimin Gladiators","19","12","7","63,16%","7","12","22,16","20,05","53,21","2548","2888","1257","47","39:16","35:09","46:20","-11:11"
"Team Aster","Team Aster","16","10","6","62,50%","9","7","25,50","21,50","60,50","2502","2990","1124","44","37:55","36:47","39:50","-03:03"
"PSG.LGD","PSG.LGD","19","11","8","57,89%","8","11","21,26","19,84","52,63","2431","2778","1088","34","37:10","37:12","37:06","00:07"
"beastcoast","beastcoast","19","11","8","57,89%","8","11","26,00","26,11","61,32","2490","3023","1134","42","37:34","41:13","32:31","08:42"
"Team Spirit","Team Spirit","16","9","7","56,25%","7","9","28,44","23,06","68,88","2544","3152","1129","35","38:34","37:10","40:21","-03:11"
"Tundra Esports","Tundra Esports","18","10","8","55,56%","14","4","24,33","26,28","61,61","2588","3022","1320","36","43:12","36:58","50:59","-14:01"
"9Pandas","9Pandas","16","8","8","50,00%","5","11","23,38","21,12","49,75","2490","2925","1120","46","35:21","35:36","35:06","00:30"
"Azure Ray","Azure Ray","19","9","10","47,37%","13","6","22,42","25,11","54,00","2406","2676","1014","37","36:08","34:10","37:55","-03:45"
"Shopify Rebellion","Shopify Rebellion","19","8","11","42,11%","9","10","22,58","23,58","54,32","2327","2686","1100","39","39:17","39:37","39:03","00:34"
"BLEED","BLEED","19","8","11","42,11%","9","10","17,00","21,42","39,32","2359","2652","1274","41","38:28","46:09","32:53","13:16"
"Blacklist Rivalry","Blacklist Rivalry","19","7","12","36,84%","7","12","20,26","23,11","54,11","2367","2703","1322","41","44:17","47:06","42:38","04:28"
"Execration","Execration","16","5","11","31,25%","11","5","18,75","26,75","46,69","2319","2670","1091","40","39:17","42:22","37:52","04:30"
"nouns","nouns","16","5","11","31,25%","13","3","15,62","23,44","40,06","2179","2432","1151","31","39:23","43:05","37:42","05:23"
"INVICTUS GAMING","INVICTUS GAMING","16","4","12","25,00%","6","10","21,62","26,88","53,00","2308","2648","1125","32","38:38","41:52","37:34","04:19"
"Evil Geniuses","Evil Geniuses","16","3","13","18,75%","9","7","19,44","28,69","44,06","2203","2537","1061","38","36:29","29:50","38:00","-08:10"
